film_name,star,ranking,comment_num,year,direct,film_eng_name,quote,poster,genre
美国往事,9.1,54,175452人评价,,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,
                            1984 / 意大利 美国 / 犯罪 剧情
                        ", / Once Upon a Time in America,往事如烟，无处祭奠。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p477229647.jpg,
饮食男女,9.0,55,198256人评价,,"
                            导演: 李安 Ang Lee   主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...,
                            1994 / 台湾 美国 / 剧情 家庭
                        ", / 飲食男女,人生不能像做菜，把所有的料都准备好了才下锅。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910899751.jpg,
"钢琴家,[可播放]",9.0,56,203666人评价,,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,
                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争
                        ", / The Pianist,音乐能化解仇恨。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792484461.jpg,
"狮子王,[可播放]",8.9,57,282451人评价,,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,
                            1994 / 美国 / 剧情 动画 冒险 歌舞 家庭
                        ", / The Lion King,动物版《哈姆雷特》。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2277799019.jpg,
"七宗罪,[可播放]",8.7,58,436685人评价,,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚
                        ", / Se7en,警察抓小偷，老鼠玩死猫。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457631605.jpg,
"致命魔术,[可播放]",8.8,59,344322人评价,,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,
                            2006 / 美国 英国 / 剧情 悬疑 惊悚
                        ", / The Prestige,孪生蝙蝠侠大战克隆金刚狼。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480383375.jpg,
"被嫌弃的松子的一生,[可播放]",8.9,60,283133人评价,,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,
                            2006 / 日本 / 剧情 歌舞
                        ", / 嫌われ松子の一生,以戏谑来戏谑戏谑。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453723669.jpg,
"疯狂动物城,[可播放]",9.2,61,497876人评价,,"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,
                            2016 / 美国 / 喜剧 动画 冒险
                        ", / Zootopia,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2315672647.jpg,
"小鞋子,[可播放]",9.2,62,136938人评价,,"
                            导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...,
                            1997 / 伊朗 / 剧情 家庭 儿童
                        ", / بچههای آسمان,奔跑的孩子是天使。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173580603.jpg,
"勇敢的心,[可播放]",8.8,63,295870人评价,,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        ", / Braveheart,史诗大片的典范。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1374546770.jpg,
"剪刀手爱德华,[可播放]",8.7,64,484463人评价,,"
                            导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...,
                            1990 / 美国 / 剧情 奇幻 爱情
                        ", / Edward Scissorhands,浪漫忧郁的成人童话。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p480956937.jpg,
"音乐之声,[可播放]",8.9,65,231994人评价,,"
                            导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...,
                            1965 / 美国 / 剧情 爱情 歌舞 家庭 传记
                        ", / The Sound of Music,用音乐化解仇恨，让歌声串起美好。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453788577.jpg,
"低俗小说,[可播放]",8.8,66,334313人评价,,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,
                            1994 / 美国 / 剧情 喜剧 犯罪
                        ", / Pulp Fiction,故事的高级讲法。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910902213.jpg,
素媛,9.1,67,176672人评价,,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,
                            2013 / 韩国 / 剧情 犯罪 家庭
                        ", / 소원,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2118532944.jpg,
"本杰明·巴顿奇事,[可播放]",8.7,68,393073人评价,,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,
                            2008 / 美国 / 剧情 爱情 奇幻
                        ", / The Curious Case of Benjamin Button,在时间之河里感受溺水之苦。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2192535722.jpg,
入殓师,8.8,69,318568人评价,,"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,
                            2008 / 日本 / 剧情
                        ", / おくりびと,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p594972928.jpg,
